model	task	template	fewshot	seed	postproc	timestamp	filename	COMET
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-1.1032
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-1.1030
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-1.1054
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-1.2531
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-1.2525
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-1.2568
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_40	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_40.newline-cut-custom-truncate.tsv	-0.4940
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234	newline-cut	2022-09-14T15_42_40	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_40.newline-cut.tsv	-0.4943
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234		2022-09-14T15_42_40	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_40.tsv	-0.5064
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-0.4375
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-0.4367
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-0.4713
bloom-1b1	wmt14_hi_en	gpt-3-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=gpt-3-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-2.0461
bloom-1b1	wmt14_hi_en	gpt-3-en-hi-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=gpt-3-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-2.0539
bloom-1b1	wmt14_hi_en	gpt-3-en-hi-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=gpt-3-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-2.0570
bloom-1b1	wmt14_hi_en	gpt-3-hi-en-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=gpt-3-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-1.4891
bloom-1b1	wmt14_hi_en	gpt-3-hi-en-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=gpt-3-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-1.4891
bloom-1b1	wmt14_hi_en	gpt-3-hi-en-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=gpt-3-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-1.4893
bloom-1b1	wmt14_hi_en	version-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=version-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-1.3926
bloom-1b1	wmt14_hi_en	version-en-hi-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=version-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-1.3898
bloom-1b1	wmt14_hi_en	version-en-hi-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=version-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-1.3965
bloom-1b1	wmt14_hi_en	version-hi-en-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=version-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-0.3521
bloom-1b1	wmt14_hi_en	version-hi-en-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=version-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-0.3457
bloom-1b1	wmt14_hi_en	version-hi-en-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=version-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-0.4218
bloom-1b1	wmt14_hi_en	xglm-en-hi-source+target	1	1234	newline-cut-custom-truncate	2023-01-02T20_07_24	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-en-hi-source+target.fewshot=1.seed=1234.timestamp=2023-01-02T20_07_24.newline-cut-custom-truncate.tsv	-0.8060
bloom-1b1	wmt14_hi_en	xglm-en-hi-source+target	1	1234	newline-cut	2023-01-02T20_07_24	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-en-hi-source+target.fewshot=1.seed=1234.timestamp=2023-01-02T20_07_24.newline-cut.tsv	-0.8839
bloom-1b1	wmt14_hi_en	xglm-en-hi-source+target	1	1234		2023-01-02T20_07_24	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-en-hi-source+target.fewshot=1.seed=1234.timestamp=2023-01-02T20_07_24.tsv	-0.8984
bloom-1b1	wmt14_hi_en	xglm-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-1.3846
bloom-1b1	wmt14_hi_en	xglm-en-hi-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-1.4328
bloom-1b1	wmt14_hi_en	xglm-en-hi-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-1.4469
bloom-1b1	wmt14_hi_en	xglm-hi-en-source+target	1	1234	newline-cut-custom-truncate	2023-01-03T22_44_56	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-hi-en-source+target.fewshot=1.seed=1234.timestamp=2023-01-03T22_44_56.newline-cut-custom-truncate.tsv	-0.5136
bloom-1b1	wmt14_hi_en	xglm-hi-en-source+target	1	1234	newline-cut	2023-01-03T22_44_56	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-hi-en-source+target.fewshot=1.seed=1234.timestamp=2023-01-03T22_44_56.newline-cut.tsv	-0.5330
bloom-1b1	wmt14_hi_en	xglm-hi-en-source+target	1	1234		2023-01-03T22_44_56	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-hi-en-source+target.fewshot=1.seed=1234.timestamp=2023-01-03T22_44_56.tsv	-0.6650
bloom-1b1	wmt14_hi_en	xglm-hi-en-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	-0.9302
bloom-1b1	wmt14_hi_en	xglm-hi-en-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	-0.9536
bloom-1b1	wmt14_hi_en	xglm-hi-en-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=xglm-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	-1.0916
bloom-1b7	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234	newline-cut-custom-truncate	2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.newline-cut-custom-truncate.tsv	-0.7443
bloom-1b7	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234	newline-cut	2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.newline-cut.tsv	-0.7431
bloom-1b7	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234		2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.tsv	-0.8252
bloom-1b7	wmt14_hi_en	a_good_translation-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.newline-cut-custom-truncate.tsv	-0.9462
bloom-1b7	wmt14_hi_en	a_good_translation-en-hi-target	1	1234	newline-cut	2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.newline-cut.tsv	-0.9439
bloom-1b7	wmt14_hi_en	a_good_translation-en-hi-target	1	1234		2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.tsv	-1.1738
bloom-1b7	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234	newline-cut-custom-truncate	2022-09-14T18_01_40	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T18_01_40.newline-cut-custom-truncate.tsv	-0.5235
bloom-1b7	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234	newline-cut	2022-09-14T18_01_40	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T18_01_40.newline-cut.tsv	-0.5189
bloom-1b7	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234		2022-09-14T18_01_40	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T18_01_40.tsv	-0.5485
bloom-1b7	wmt14_hi_en	a_good_translation-hi-en-target	1	1234	newline-cut-custom-truncate	2022-09-14T17_58_00	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_58_00.newline-cut-custom-truncate.tsv	-0.6436
bloom-1b7	wmt14_hi_en	a_good_translation-hi-en-target	1	1234	newline-cut	2022-09-14T17_58_00	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_58_00.newline-cut.tsv	-0.6414
bloom-1b7	wmt14_hi_en	a_good_translation-hi-en-target	1	1234		2022-09-14T17_58_00	examples.model=bloom-1b7.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_58_00.tsv	-0.8134
bloom-1b7	wmt14_hi_en	gpt-3-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T18_01_40	examples.model=bloom-1b7.task=wmt14_hi_en.templates=gpt-3-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T18_01_40.newline-cut-custom-truncate.tsv	-2.0055
bloom-1b7	wmt14_hi_en	gpt-3-en-hi-target	1	1234	newline-cut	2022-09-14T18_01_40	examples.model=bloom-1b7.task=wmt14_hi_en.templates=gpt-3-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T18_01_40.newline-cut.tsv	-2.0118
bloom-1b7	wmt14_hi_en	gpt-3-en-hi-target	1	1234		2022-09-14T18_01_40	examples.model=bloom-1b7.task=wmt14_hi_en.templates=gpt-3-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T18_01_40.tsv	-2.0389
bloom-1b7	wmt14_hi_en	gpt-3-hi-en-target	1	1234	newline-cut-custom-truncate	2022-09-14T18_05_07	examples.model=bloom-1b7.task=wmt14_hi_en.templates=gpt-3-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T18_05_07.newline-cut-custom-truncate.tsv	-1.4576
bloom-1b7	wmt14_hi_en	gpt-3-hi-en-target	1	1234	newline-cut	2022-09-14T18_05_07	examples.model=bloom-1b7.task=wmt14_hi_en.templates=gpt-3-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T18_05_07.newline-cut.tsv	-1.4582
bloom-1b7	wmt14_hi_en	gpt-3-hi-en-target	1	1234		2022-09-14T18_05_07	examples.model=bloom-1b7.task=wmt14_hi_en.templates=gpt-3-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T18_05_07.tsv	-1.4817
bloom-1b7	wmt14_hi_en	version-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=version-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.newline-cut-custom-truncate.tsv	-1.0251
bloom-1b7	wmt14_hi_en	version-en-hi-target	1	1234	newline-cut	2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=version-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.newline-cut.tsv	-1.0253
bloom-1b7	wmt14_hi_en	version-en-hi-target	1	1234		2022-09-14T17_54_34	examples.model=bloom-1b7.task=wmt14_hi_en.templates=version-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T17_54_34.tsv	-1.0737
